name,strains_print,color
1924,nobody,#b0b0b0
1926,nobody,#b0b0b0
6308,"s7, s9",#b0b0b0
18054,nobody,Yellow
19100,nobody,#b0b0b0
19102,nobody,#b0b0b0
19556,nobody,#b0b0b0
19572,nobody,#b0b0b0
20152,nobody,Yellow
26948,s7(4),#b0b0b0
37286,nobody,#b0b0b0
41556,nobody,#b0b0b0
46552,"s7, s9, s5",Lime
46554,"s7, s9(3)",#b0b0b0
47888,nobody,#b0b0b0
61404,nobody,#b0b0b0
72464,nobody,Yellow
76332,"s7, s5",Lime
85276,nobody,#b0b0b0
89534,s9,Yellow
89902,s5(2),Green
94116,s5,Lime
98704,nobody,#b0b0b0
102714,s5,Lime
105326,nobody,#b0b0b0
109452,nobody,#b0b0b0
110802,"s7(2), s5",Green
127704,nobody,#b0b0b0
131296,nobody,#b0b0b0
131904,s7(2),#b0b0b0
131906,s7,#b0b0b0
134334,s7(2),#b0b0b0
140092,"s7, s9(3)",#b0b0b0
146072,nobody,#b0b0b0
160344,nobody,#b0b0b0
173912,nobody,#b0b0b0
175268,s5,Lime
182492,nobody,Yellow
183032,nobody,#b0b0b0
188216,nobody,#b0b0b0
189884,nobody,#b0b0b0
192284,nobody,#b0b0b0
193824,nobody,#b0b0b0
203714,nobody,#b0b0b0
213962,nobody,#b0b0b0
214858,nobody,#b0b0b0
215678,nobody,#b0b0b0
215680,s5,Lime
223104,nobody,#b0b0b0
223632,nobody,#b0b0b0
224254,nobody,#b0b0b0
224722,nobody,#b0b0b0
230756,"s7, s5",Lime
243264,"s7, s9, s5",Teal
244714,nobody,#b0b0b0
246586,nobody,#b0b0b0
250712,nobody,#b0b0b0
255314,s9(2),#b0b0b0
255440,s5,Lime
257120,nobody,#b0b0b0
264944,s5,Lime
272624,s7,#b0b0b0
272750,nobody,#b0b0b0
272984,nobody,#b0b0b0
289270,nobody,#b0b0b0
291250,nobody,#b0b0b0
292216,"s7, s9",#b0b0b0
296028,nobody,#b0b0b0
303384,nobody,#b0b0b0
310796,"s7, s5",Lime
310798,s9,#b0b0b0
311980,nobody,#b0b0b0
317180,s7,#b0b0b0
318772,"s9, s5",Lime
325316,"s7, s9",#b0b0b0
326238,nobody,#b0b0b0
326430,nobody,#b0b0b0
328238,s7,#b0b0b0
329092,s9(2),#b0b0b0
329272,s7,#b0b0b0
341500,"s7(3), s9",#b0b0b0
362196,"s7, s5",Lime
363486,nobody,#b0b0b0
375142,"s7, s9(2)",#b0b0b0
377992,nobody,#b0b0b0
378376,nobody,#b0b0b0
379706,nobody,#b0b0b0
380526,nobody,#b0b0b0
387680,s7,#b0b0b0
389672,nobody,#b0b0b0
401322,nobody,#b0b0b0
402172,nobody,#b0b0b0
402846,nobody,#b0b0b0
406924,nobody,#b0b0b0
406926,s9,#b0b0b0
414398,nobody,Yellow
418222,nobody,#b0b0b0
422582,"s9, s5",Lime
422674,nobody,#b0b0b0
429636,s9,#b0b0b0
432460,s9,#b0b0b0
434000,nobody,#b0b0b0
442066,nobody,#b0b0b0
445506,"s7, s9, s5",Lime
445934,nobody,#b0b0b0
446182,nobody,#b0b0b0
447168,nobody,#b0b0b0
447854,s7(2),Orange
447856,s7(5),Orange
450514,nobody,#b0b0b0
450516,nobody,#b0b0b0
451830,"s7, s9",#b0b0b0
456582,s5,Lime
471470,s5,Lime
472358,nobody,#b0b0b0
473134,nobody,#b0b0b0
