,0,1,2
e5515248,1.0,1.0,1.0
e5607954,0.0,0.0,1.0
e5601674,1.0,1.0,1.0
e5427068,1.0,0.0,1.0
e5546564,0.0,1.0,0.0
e5432232,0.0,1.0,0.0
e5442924,1.0,1.0,1.0
e5607936,1.0,1.0,1.0
e5133140,1.0,0.0,0.0
e5214448,0.0,1.0,0.0
e5589590,1.0,1.0,1.0
e5604490,1.0,0.0,1.0
e5304756,0.0,0.0,1.0
e5104558,1.0,0.0,0.0
e5604746,1.0,1.0,1.0
e5529540,1.0,1.0,0.0
e5013402,0.0,1.0,0.0
e5407974,1.0,0.0,1.0
e1924,1.0,0.0,0.0
e1926,1.0,0.0,0.0
e5227396,0.0,0.0,1.0
e5115742,0.0,1.0,0.0
e5594010,1.0,0.0,0.0
e4689069,0.0,0.0,0.0
e5607252,1.0,1.0,1.0
e5459162,1.0,0.0,1.0
e5536162,0.0,1.0,0.0
e5573820,0.0,0.0,1.0
e5126760,0.0,0.0,1.0
e5605814,1.0,0.0,1.0
e5175270,0.0,0.0,1.0
e5170888,0.0,1.0,0.0
e5506070,1.0,1.0,1.0
e5122200,0.0,1.0,0.0
e5493668,1.0,1.0,0.0
e5602628,1.0,1.0,1.0
e5179040,0.0,0.0,1.0
e5590190,1.0,1.0,0.0
e5502776,1.0,1.0,1.0
e5543832,0.0,1.0,0.0
e5572104,1.0,0.0,1.0
e5598348,1.0,0.0,1.0
e5546062,0.0,0.0,1.0
e5211534,0.0,1.0,0.0
e5584600,1.0,0.0,1.0
e5521644,1.0,0.0,1.0
e5375578,0.0,0.0,1.0
e5602380,1.0,1.0,1.0
e5242472,1.0,0.0,1.0
e5594066,0.0,1.0,0.0
e5596182,1.0,0.0,1.0
e5604622,1.0,1.0,1.0
e5495514,1.0,0.0,1.0
e5603578,1.0,1.0,1.0
e5427796,0.0,0.0,1.0
e5579384,1.0,1.0,0.0
e5184292,1.0,1.0,0.0
e5188608,0.0,0.0,1.0
e47888,1.0,0.0,0.0
e5084336,1.0,0.0,0.0
e5220816,1.0,0.0,0.0
e5226658,1.0,0.0,0.0
e5465788,1.0,0.0,1.0
e5215300,1.0,0.0,0.0
e5477868,1.0,1.0,0.0
e5230150,0.0,1.0,0.0
e5422484,1.0,0.0,1.0
e5608004,1.0,1.0,1.0
e5154834,0.0,1.0,0.0
e5487422,1.0,0.0,1.0
e5537238,1.0,0.0,0.0
e5580362,0.0,1.0,1.0
e5209456,0.0,1.0,0.0
e5599666,1.0,0.0,1.0
e5578664,1.0,0.0,1.0
e5102762,0.0,0.0,1.0
e5258830,0.0,1.0,0.0
e5605328,1.0,1.0,1.0
e94116,0.0,0.0,1.0
e5606676,1.0,1.0,1.0
e5546276,1.0,0.0,0.0
e5602958,1.0,0.0,0.0
e5272472,0.0,0.0,1.0
e5542578,1.0,0.0,0.0
e5607122,1.0,0.0,1.0
e5573716,1.0,1.0,1.0
e5110422,1.0,0.0,0.0
e5602088,0.0,1.0,1.0
e5255272,0.0,1.0,0.0
e5584234,1.0,1.0,1.0
e5356240,0.0,0.0,1.0
e5216646,0.0,1.0,0.0
e5434950,1.0,0.0,1.0
e5606140,1.0,0.0,0.0
e19100,1.0,0.0,0.0
e19102,1.0,0.0,0.0
e5601822,1.0,1.0,1.0
e5414980,1.0,0.0,1.0
e5607370,0.0,1.0,1.0
e5543522,0.0,1.0,0.0
e5224046,1.0,1.0,0.0
e5601430,1.0,1.0,1.0
e5256510,1.0,0.0,1.0
e5604160,1.0,1.0,1.0
e5546496,0.0,1.0,0.0
e61404,1.0,0.0,0.0
e5307506,1.0,1.0,0.0
e5582082,1.0,0.0,1.0
e5591114,0.0,1.0,0.0
e5605296,1.0,1.0,1.0
e5542928,0.0,1.0,0.0
e5584804,1.0,0.0,1.0
e5604078,1.0,1.0,0.0
e5212916,0.0,0.0,1.0
e5521244,1.0,1.0,0.0
e5542550,1.0,0.0,0.0
e5604434,1.0,1.0,1.0
e5258990,0.0,1.0,0.0
e5520302,1.0,0.0,1.0
e5502314,1.0,1.0,1.0
e5595076,0.0,1.0,0.0
e5341316,1.0,0.0,1.0
e5599604,1.0,1.0,1.0
e5501062,1.0,1.0,1.0
e5479636,1.0,0.0,1.0
e5606204,1.0,0.0,1.0
e5100590,0.0,0.0,1.0
e5201166,1.0,0.0,0.0
e5608088,1.0,1.0,1.0
e5595444,1.0,0.0,1.0
e5216286,0.0,0.0,1.0
e5542534,1.0,0.0,0.0
e5515924,1.0,0.0,0.0
e5543182,0.0,0.0,1.0
e5572452,0.0,0.0,1.0
e5600514,1.0,1.0,1.0
e5221552,0.0,1.0,0.0
e5518112,1.0,0.0,1.0
e5545934,1.0,0.0,0.0
e19572,0.0,0.0,0.0
e5526038,1.0,0.0,1.0
e89534,1.0,1.0,1.0
e5607998,1.0,1.0,1.0
e5158360,0.0,1.0,0.0
e5349452,1.0,0.0,1.0
e5220334,0.0,1.0,0.0
e5420794,1.0,0.0,1.0
e5184288,1.0,0.0,0.0
e5545980,1.0,0.0,0.0
e5216820,1.0,0.0,0.0
e5581982,1.0,1.0,0.0
e5606082,1.0,1.0,1.0
e5319540,0.0,0.0,1.0
e5591724,1.0,0.0,0.0
e5588072,1.0,1.0,1.0
e5241928,0.0,1.0,0.0
e5574180,1.0,1.0,1.0
e5033170,0.0,0.0,1.0
e5446932,1.0,1.0,0.0
e5565612,1.0,1.0,0.0
e72464,0.0,0.0,1.0
e5606404,1.0,0.0,1.0
e5606636,1.0,1.0,1.0
e26948,1.0,1.0,0.0
e5210962,1.0,0.0,0.0
e5594662,1.0,1.0,1.0
e5537394,0.0,1.0,0.0
e5113634,1.0,1.0,1.0
e46552,0.0,1.0,1.0
e46554,1.0,1.0,0.0
e5589538,1.0,1.0,0.0
e5591776,1.0,1.0,0.0
e5161778,1.0,0.0,0.0
e5606216,0.0,1.0,0.0
e5606218,1.0,0.0,1.0
e5226998,0.0,1.0,0.0
e5536684,1.0,0.0,1.0
e5084910,1.0,0.0,0.0
e5404014,0.0,1.0,1.0
e5406756,1.0,1.0,0.0
e5512880,0.0,1.0,1.0
e5145258,0.0,0.0,1.0
e5182298,0.0,0.0,1.0
e5469550,1.0,1.0,1.0
e5013264,0.0,1.0,0.0
e5574920,1.0,0.0,1.0
e5601438,1.0,1.0,1.0
e37286,1.0,0.0,0.0
e5286370,0.0,0.0,1.0
e18054,0.0,0.0,1.0
e5206610,0.0,1.0,1.0
e5593488,0.0,1.0,0.0
e5078462,0.0,0.0,1.0
e5537508,0.0,0.0,1.0
e5201018,0.0,0.0,1.0
e5506938,1.0,1.0,1.0
e5537502,0.0,0.0,1.0
e5608096,1.0,0.0,0.0
e20152,0.0,0.0,1.0
e41556,0.0,0.0,0.0
e5593740,0.0,1.0,0.0
e5216454,0.0,1.0,0.0
e5519696,1.0,0.0,0.0
e5504566,1.0,1.0,1.0
e5480606,1.0,1.0,0.0
