name,strains_print,color
1027534+,s5,Teal
1047814+,"s4, s8(2)",#b0b0b0
1049538+,s4(2),#b0b0b0
105162+,Nobody,#b0b0b0
105164+,s5,Teal
1062080+,s8,#b0b0b0
1063280+,Nobody,#b0b0b0
1063282+,"s4, s8",#b0b0b0
1065508+,Nobody,#b0b0b0
1065510+,s4,#b0b0b0
1065512+,s4,#b0b0b0
1066572+,Nobody,#b0b0b0
1066574+,Nobody,#b0b0b0
1075892+,Nobody,#b0b0b0
1076784+,s4,#b0b0b0
1084118+,s4(5),#b0b0b0
1093412+,s4(3),#b0b0b0
1100210+,s4,#b0b0b0
1100212+,s4,#b0b0b0
1101582+,Nobody,#b0b0b0
1101584+,"s4, s8",#b0b0b0
1106754+,"s4, s5",Teal
1107356+,"s4, s5",Teal
11103665578704+,s5,Teal
1121512+,Nobody,#b0b0b0
11226925936566+,s5,Lime
11226945937182+,"s4, s8",#b0b0b0
115372+,s5,Teal
115434+,s4(2),#b0b0b0
1158662+,s4(3),#b0b0b0
11696965900732+,s5,Teal
1178922+,"s4(3), s8(3)",#b0b0b0
1178926+,"s4(3), s8(2)",#b0b0b0
1192854+,"s4, s5",Teal
1200646+,s4(2),#b0b0b0
1207960+,s4(2),#b0b0b0
12102+,s4(4),#b0b0b0
1210856+,Nobody,#b0b0b0
12154805430114+,s5,Teal
1249416+,s4(2),#b0b0b0
1255502+,Nobody,#b0b0b0
1255504+,s5,Teal
1256494+,"s4, s8(2)",#b0b0b0
12663065913424+,"s4, s8",#b0b0b0
1275236+,"s4, s5",Teal
1277240+,s5,Teal
1277242+,"s4, s8",#b0b0b0
1282530+,s5(3),Navy
1289638+,Nobody,#b0b0b0
1293920+,"s5, s8",Teal
1307062+,Nobody,#b0b0b0
1307064+,"s4, s8",#b0b0b0
1334104+,Nobody,#b0b0b0
1334106+,s4,#b0b0b0
13372+,Nobody,#b0b0b0
1347352+,Nobody,#b0b0b0
1347354+,Nobody,#b0b0b0
1347480+,s8(2),#b0b0b0
1368496+,"s4, s8",#b0b0b0
1369888+,Nobody,#b0b0b0
1369890+,s5,Teal
1394528+,Nobody,#b0b0b0
1409878+,"s4, s8",#b0b0b0
1409880+,s5,Teal
1412206+,"s4, s5, s8",Teal
1413416+,s5(2),Navy
1414926+,"s4, s8(2)",#b0b0b0
1414928+,s8(2),#b0b0b0
1419192+,"s4, s8",#b0b0b0
142778+,"s5, s8",Teal
1428444+,s4(2),#b0b0b0
1432762+,Nobody,#b0b0b0
1432764+,Nobody,#b0b0b0
1444720+,"s4(3), s8",#b0b0b0
1447956+,Nobody,#b0b0b0
1447958+,"s4, s8",#b0b0b0
1450904+,"s4, s8",#b0b0b0
1461988+,Nobody,#b0b0b0
1461990+,s5,Teal
