,0,1,2
e5635606,0.0,1.0,0.0
e5650510,0.0,1.0,0.0
e5869348,1.0,1.0,1.0
e90548,0.0,0.0,0.0
e5953980,0.0,1.0,1.0
e5948194,1.0,1.0,1.0
e5913560,0.0,1.0,1.0
e5526730,1.0,0.0,0.0
e5949838,1.0,1.0,1.0
e5891076,0.0,1.0,1.0
e5893674,1.0,0.0,0.0
e5652214,0.0,1.0,0.0
e30322,1.0,0.0,0.0
e30324,0.0,1.0,0.0
e5692060,1.0,0.0,0.0
e5613014,0.0,1.0,0.0
e5934166,0.0,0.0,1.0
e5883132,0.0,1.0,1.0
e5955104,1.0,1.0,1.0
e5928396,0.0,1.0,1.0
e5872552,0.0,0.0,1.0
e5926014,1.0,1.0,1.0
e18594,1.0,0.0,0.0
e5313044,1.0,0.0,0.0
e5005246,1.0,0.0,0.0
e5895378,1.0,1.0,1.0
e58342,1.0,0.0,0.0
e58344,1.0,0.0,0.0
e5348682,0.0,0.0,1.0
e5358688,0.0,1.0,0.0
e5882356,0.0,1.0,1.0
e5874996,1.0,0.0,0.0
e5718232,0.0,1.0,1.0
e5935098,1.0,1.0,1.0
e5947930,1.0,1.0,1.0
e83452,0.0,0.0,0.0
e5927772,1.0,0.0,0.0
e5948124,1.0,1.0,1.0
e5544346,0.0,1.0,0.0
e5631938,0.0,0.0,1.0
e5830152,1.0,1.0,1.0
e5875660,1.0,0.0,0.0
e5892432,0.0,1.0,1.0
e5952414,1.0,0.0,0.0
e5621066,1.0,0.0,0.0
e5780082,0.0,1.0,1.0
e5930926,1.0,0.0,0.0
e5950162,1.0,1.0,0.0
e8812,1.0,0.0,0.0
e5633092,1.0,0.0,0.0
e5712938,1.0,0.0,0.0
e5937998,1.0,0.0,0.0
e5955918,1.0,1.0,1.0
e5890116,0.0,1.0,0.0
e5935632,0.0,1.0,1.0
e5938560,1.0,0.0,0.0
e5955202,1.0,1.0,1.0
e5955296,1.0,1.0,1.0
e5952564,1.0,0.0,0.0
e5420490,1.0,1.0,1.0
e71864,1.0,0.0,0.0
e71866,1.0,0.0,0.0
e5930172,0.0,0.0,1.0
e5654292,0.0,0.0,1.0
e5940242,0.0,0.0,1.0
e5946052,0.0,1.0,1.0
e5935642,0.0,1.0,1.0
e5936332,1.0,0.0,0.0
e5943012,1.0,1.0,1.0
e5810518,0.0,0.0,1.0
e61590,1.0,0.0,0.0
e5703178,0.0,0.0,1.0
e51896,0.0,1.0,0.0
e5148446,0.0,1.0,0.0
e5809172,1.0,1.0,0.0
e5955846,1.0,1.0,1.0
e5948798,1.0,1.0,1.0
e5931376,1.0,0.0,0.0
e5939548,0.0,1.0,1.0
e5884654,1.0,0.0,0.0
e5950482,1.0,1.0,1.0
e5884466,1.0,0.0,0.0
e5934914,1.0,0.0,0.0
e47194,1.0,0.0,0.0
e5954102,0.0,0.0,1.0
e5898140,1.0,1.0,1.0
e5564954,1.0,0.0,0.0
e5849628,1.0,1.0,0.0
e5870164,0.0,1.0,1.0
e5929000,1.0,1.0,1.0
e5931846,0.0,1.0,1.0
e5938270,1.0,0.0,0.0
e5661552,1.0,0.0,0.0
e5832260,1.0,1.0,0.0
e5615634,0.0,1.0,0.0
e5887166,0.0,0.0,1.0
e24718,0.0,0.0,1.0
e24720,0.0,1.0,1.0
e5609282,1.0,0.0,0.0
e5105686,0.0,0.0,0.0
e5938082,1.0,1.0,1.0
e5932354,1.0,1.0,0.0
e5937276,0.0,0.0,1.0
e5862472,1.0,1.0,1.0
e5910284,1.0,1.0,1.0
e5601646,1.0,0.0,0.0
e5873714,0.0,1.0,1.0
e5607760,1.0,0.0,0.0
e5954802,1.0,1.0,1.0
e5628606,0.0,0.0,1.0
e5630204,1.0,0.0,0.0
e5940982,0.0,1.0,1.0
e5926174,0.0,0.0,1.0
e5921304,1.0,1.0,1.0
e5801750,0.0,1.0,1.0
e5859438,1.0,0.0,0.0
e5953236,1.0,0.0,0.0
e21926,1.0,0.0,0.0
e5955484,1.0,1.0,1.0
e5920640,1.0,0.0,1.0
e5924614,1.0,1.0,1.0
e5938216,1.0,0.0,0.0
e5946320,0.0,1.0,1.0
e5634538,0.0,0.0,1.0
e5629574,0.0,0.0,1.0
e5942186,0.0,1.0,1.0
e5109444,0.0,0.0,0.0
e5944120,1.0,0.0,1.0
e5934092,1.0,0.0,0.0
e5116446,0.0,1.0,0.0
e5668014,1.0,0.0,0.0
e5954062,0.0,1.0,1.0
e804,0.0,0.0,1.0
e806,0.0,0.0,1.0
e5916696,1.0,1.0,1.0
e41938,1.0,0.0,0.0
e41940,1.0,0.0,0.0
e5056126,0.0,0.0,0.0
e5585862,0.0,0.0,1.0
e5343156,1.0,0.0,0.0
e68718,1.0,0.0,0.0
e68720,1.0,0.0,0.0
e68722,1.0,0.0,0.0
e5933704,0.0,1.0,0.0
e5953986,1.0,0.0,1.0
e35142,0.0,1.0,0.0
e5760040,1.0,0.0,1.0
e5848182,1.0,1.0,1.0
e5914448,0.0,1.0,1.0
e5644850,0.0,1.0,0.0
e5906718,0.0,1.0,1.0
e5527254,1.0,0.0,0.0
e5637634,1.0,0.0,0.0
e5954198,1.0,0.0,1.0
e5955472,1.0,1.0,1.0
e5893846,1.0,0.0,0.0
e5942100,0.0,1.0,1.0
e5617966,0.0,0.0,1.0
e28108,1.0,0.0,0.0
e5925342,1.0,1.0,1.0
e5875334,1.0,0.0,0.0
e5905266,0.0,1.0,1.0
e5054480,0.0,1.0,0.0
e12102,1.0,1.0,1.0
e5925958,1.0,1.0,1.0
e5921672,1.0,0.0,1.0
e5932724,1.0,0.0,0.0
e5951244,1.0,1.0,1.0
e5954098,1.0,1.0,1.0
e5633148,1.0,1.0,1.0
e5936764,1.0,0.0,0.0
e5955822,1.0,1.0,1.0
e5548526,1.0,0.0,0.0
e5601434,0.0,1.0,1.0
e5952638,1.0,0.0,0.0
e5953374,0.0,1.0,1.0
e5955768,1.0,1.0,1.0
e5947156,1.0,0.0,1.0
e5882358,1.0,0.0,0.0
e5949886,1.0,1.0,1.0
e5913488,1.0,1.0,1.0
e5955190,1.0,1.0,1.0
e5893384,1.0,0.0,0.0
e5951446,0.0,1.0,1.0
e5932530,1.0,1.0,1.0
e40292,0.0,1.0,0.0
e40298,0.0,1.0,0.0
e5949862,1.0,1.0,1.0
e5949842,1.0,1.0,1.0
e27084,1.0,0.0,0.0
e27086,1.0,0.0,0.0
e5888068,1.0,0.0,0.0
e5626564,0.0,1.0,0.0
e5680556,1.0,0.0,0.0
e5923412,1.0,1.0,1.0
e5955054,1.0,1.0,1.0
e5661954,0.0,0.0,1.0
e5710992,0.0,1.0,1.0
e5816260,0.0,0.0,1.0
e5833980,1.0,1.0,0.0
e5883416,1.0,0.0,0.0
e5955510,1.0,1.0,1.0
e5627090,1.0,0.0,0.0
e5909866,0.0,1.0,1.0
e5927546,1.0,1.0,0.0
e5934824,0.0,0.0,1.0
e60890,1.0,0.0,0.0
e5606398,0.0,1.0,0.0
e5777892,1.0,0.0,1.0
e5946250,1.0,1.0,1.0
e5475800,1.0,0.0,0.0
e5941654,0.0,1.0,1.0
e5828880,0.0,1.0,1.0
e5870310,1.0,0.0,0.0
e78278,1.0,1.0,1.0
e5802424,0.0,1.0,1.0
e13372,1.0,0.0,0.0
e28826,1.0,0.0,0.0
e28828,1.0,0.0,0.0
e5273760,1.0,0.0,0.0
e5892010,0.0,0.0,1.0
e5933588,0.0,0.0,1.0
e5883470,0.0,1.0,1.0
e5875884,0.0,1.0,0.0
e5889592,0.0,0.0,1.0
e43338,1.0,0.0,0.0
e43340,0.0,1.0,1.0
e5675408,0.0,0.0,1.0
e5849656,1.0,0.0,0.0
e5883586,1.0,0.0,0.0
e15140,1.0,0.0,0.0
e5617106,0.0,1.0,0.0
e5936038,0.0,0.0,1.0
e5662066,0.0,0.0,1.0
e5489458,1.0,0.0,1.0
e5915972,0.0,1.0,0.0
e5950652,1.0,1.0,1.0
e5785296,0.0,1.0,1.0
e5915672,1.0,1.0,1.0
e5702492,1.0,0.0,0.0
e5954762,0.0,1.0,1.0
e5539524,0.0,1.0,1.0
e5643178,0.0,0.0,1.0
e4092,1.0,0.0,1.0
e5253842,1.0,0.0,0.0
e5954532,1.0,1.0,1.0
e5890226,0.0,1.0,1.0
e5890912,1.0,0.0,0.0
e5954638,1.0,1.0,1.0
e105162,1.0,0.0,0.0
e105164,1.0,0.0,0.0
e5587716,0.0,1.0,1.0
e5634390,1.0,0.0,0.0
e155564,0.0,0.0,0.0
e5951570,1.0,1.0,0.0
e5955598,0.0,1.0,1.0
e5949898,1.0,1.0,1.0
e5950266,1.0,1.0,1.0
e5921036,1.0,1.0,1.0
e5941642,0.0,1.0,1.0
e5944566,1.0,1.0,1.0
e5656246,0.0,0.0,1.0
e195794,0.0,1.0,1.0
e5920092,1.0,1.0,1.0
e5639260,0.0,0.0,1.0
e5875674,1.0,0.0,0.0
e5889228,0.0,1.0,1.0
e5945590,1.0,1.0,1.0
e5930998,0.0,1.0,1.0
e5938508,1.0,0.0,0.0
e5881146,1.0,0.0,0.0
e5925016,0.0,1.0,1.0
e5922096,1.0,1.0,1.0
e5870580,1.0,0.0,0.0
e5889258,0.0,1.0,1.0
e5908232,0.0,1.0,1.0
e5665078,1.0,0.0,0.0
e5676192,1.0,0.0,0.0
e5691178,1.0,0.0,0.0
e5953548,0.0,0.0,1.0
e5613946,1.0,0.0,0.0
e5949798,1.0,1.0,1.0
e5941624,1.0,1.0,0.0
e115372,1.0,0.0,0.0
e5875668,0.0,1.0,0.0
e5724868,1.0,0.0,1.0
e5616972,0.0,1.0,0.0
e5880782,1.0,0.0,0.0
e5662516,1.0,0.0,0.0
e5726038,0.0,0.0,1.0
e5635490,1.0,0.0,1.0
e5879464,1.0,1.0,1.0
e5901124,1.0,1.0,0.0
e142778,1.0,0.0,1.0
e5928088,1.0,1.0,1.0
e5944708,1.0,0.0,1.0
e5949780,1.0,1.0,1.0
e5630562,1.0,0.0,0.0
e5801828,0.0,1.0,1.0
e5621358,0.0,1.0,0.0
e5948926,1.0,1.0,0.0
e5907708,0.0,1.0,1.0
e5412550,1.0,0.0,0.0
e5901102,1.0,1.0,1.0
e5897112,1.0,0.0,0.0
e5915816,0.0,1.0,1.0
e5950868,1.0,1.0,1.0
e5930600,0.0,1.0,0.0
e5938594,1.0,0.0,0.0
e5057924,0.0,0.0,0.0
e5790946,1.0,1.0,0.0
e5944902,0.0,1.0,1.0
e5610180,0.0,1.0,0.0
e144952,0.0,0.0,0.0
e5870146,1.0,1.0,1.0
e119158,0.0,0.0,0.0
e5941050,0.0,1.0,1.0
e5503196,0.0,1.0,0.0
e143578,0.0,0.0,0.0
e5887182,0.0,1.0,0.0
e5614952,1.0,0.0,0.0
e5861568,0.0,1.0,1.0
e5923440,1.0,1.0,1.0
e5576630,1.0,0.0,0.0
e5954650,1.0,1.0,1.0
e5947406,1.0,1.0,1.0
e5874478,0.0,0.0,1.0
e5955636,1.0,1.0,0.0
e5636044,1.0,0.0,0.0
e5600074,1.0,0.0,0.0
e5800850,0.0,0.0,1.0
e135358,0.0,1.0,0.0
e5631286,1.0,0.0,0.0
e5942574,1.0,1.0,1.0
e5882644,1.0,0.0,0.0
e5328964,1.0,0.0,0.0
e151632,1.0,0.0,0.0
e151634,1.0,0.0,0.0
e5944636,1.0,1.0,1.0
e201600,1.0,0.0,0.0
e5001044,0.0,1.0,1.0
e5923292,1.0,1.0,1.0
e5813146,0.0,1.0,1.0
e5947602,1.0,1.0,1.0
e5950044,1.0,1.0,1.0
e5604090,0.0,1.0,0.0
e5955558,1.0,1.0,1.0
e5853260,1.0,0.0,0.0
