,0,1,2,3
e114762,1.0,0.0,0.0,1.0
e6992344,1.0,0.0,0.0,0.0
e7109584,0.0,0.0,0.0,1.0
e7009292,1.0,0.0,0.0,0.0
e7007012,0.0,0.0,0.0,1.0
e7020506,0.0,1.0,0.0,0.0
e5988330,0.0,1.0,0.0,0.0
e7054824,0.0,1.0,1.0,0.0
e6548068,0.0,0.0,0.0,1.0
e7070178,0.0,1.0,1.0,1.0
e6581240,0.0,0.0,0.0,1.0
e6523586,1.0,0.0,0.0,1.0
e7013112,0.0,1.0,0.0,0.0
e7109516,1.0,0.0,0.0,0.0
e6538922,1.0,1.0,0.0,0.0
e6992564,0.0,0.0,0.0,1.0
e7023432,0.0,1.0,0.0,0.0
e7021492,1.0,0.0,0.0,0.0
e7069012,0.0,1.0,1.0,1.0
e6074840,1.0,1.0,0.0,0.0
e6941942,1.0,0.0,0.0,1.0
e7131954,1.0,0.0,1.0,1.0
e6953442,0.0,1.0,1.0,0.0
e7073688,0.0,1.0,1.0,1.0
e7095346,0.0,1.0,1.0,1.0
e7091730,1.0,1.0,1.0,1.0
e7097024,1.0,1.0,1.0,1.0
e6589560,1.0,0.0,0.0,0.0
e6471318,0.0,0.0,1.0,0.0
e7091108,1.0,1.0,1.0,1.0
e7132092,1.0,1.0,1.0,1.0
e7052758,0.0,1.0,1.0,1.0
e7110198,1.0,0.0,0.0,0.0
e6471462,1.0,0.0,0.0,0.0
e66384,1.0,0.0,0.0,1.0
e7135426,1.0,1.0,1.0,1.0
e7046862,1.0,0.0,0.0,1.0
e7124512,1.0,1.0,1.0,1.0
e6940972,1.0,1.0,1.0,0.0
e6430332,1.0,0.0,0.0,0.0
e6426578,0.0,0.0,1.0,1.0
e6470628,1.0,0.0,0.0,0.0
e6993552,1.0,0.0,1.0,0.0
e7029036,1.0,1.0,1.0,1.0
e7134208,1.0,1.0,1.0,1.0
e6436150,0.0,0.0,1.0,0.0
e6970060,1.0,1.0,1.0,1.0
e6990038,0.0,0.0,1.0,0.0
e7126750,1.0,1.0,0.0,1.0
e6238644,0.0,0.0,1.0,0.0
e6439776,0.0,1.0,0.0,0.0
e6720468,0.0,1.0,1.0,0.0
e6980788,1.0,0.0,0.0,0.0
e6580082,1.0,0.0,0.0,0.0
e6864240,0.0,1.0,1.0,1.0
e7129842,1.0,1.0,1.0,1.0
e6094880,1.0,0.0,0.0,0.0
e6734826,0.0,1.0,0.0,1.0
e7109620,1.0,0.0,0.0,0.0
e7115158,0.0,1.0,0.0,0.0
e7006570,0.0,0.0,0.0,1.0
e7021310,0.0,1.0,1.0,0.0
e7050190,0.0,1.0,0.0,1.0
e97204,0.0,0.0,0.0,0.0
e6989882,0.0,0.0,1.0,0.0
e6989884,0.0,1.0,0.0,0.0
