,0,1,2,3,4
e6848379,1.0,0.0,0.0,0.0,0.0
e7497991,0.0,1.0,0.0,0.0,0.0
e7487555,1.0,0.0,0.0,0.0,0.0
e7506613,0.0,0.0,1.0,0.0,0.0
e7584145,1.0,1.0,0.0,1.0,1.0
e78716,0.0,1.0,0.0,1.0,0.0
e6811003,0.0,0.0,0.0,0.0,1.0
e7197451,1.0,0.0,1.0,0.0,0.0
e6567785,0.0,0.0,0.0,1.0,0.0
e7287695,1.0,1.0,0.0,1.0,1.0
e7478745,1.0,1.0,1.0,1.0,1.0
e7333865,1.0,0.0,0.0,1.0,0.0
e6574863,1.0,0.0,0.0,0.0,0.0
e6498611,0.0,0.0,0.0,0.0,1.0
e6811307,0.0,0.0,0.0,0.0,1.0
e7337951,1.0,0.0,0.0,1.0,0.0
e6747945,1.0,0.0,0.0,0.0,1.0
e7428221,0.0,1.0,1.0,1.0,0.0
e7076097,0.0,0.0,1.0,0.0,1.0
e7611035,0.0,1.0,0.0,1.0,0.0
e7600155,0.0,1.0,1.0,1.0,1.0
e7299697,0.0,1.0,0.0,1.0,0.0
e7021145,0.0,0.0,0.0,0.0,1.0
e7172009,0.0,1.0,0.0,1.0,0.0
e7604701,0.0,1.0,0.0,1.0,0.0
e7572729,1.0,1.0,1.0,1.0,0.0
e7488667,0.0,1.0,0.0,1.0,0.0
e7535921,1.0,0.0,1.0,0.0,1.0
e6196568,0.0,0.0,0.0,0.0,1.0
e7543719,0.0,0.0,1.0,0.0,1.0
e7610257,1.0,1.0,1.0,1.0,1.0
e6674715,1.0,0.0,0.0,0.0,1.0
e7574527,1.0,0.0,1.0,1.0,1.0
e7606603,1.0,1.0,1.0,1.0,1.0
e7595481,1.0,1.0,1.0,0.0,1.0
e7022749,1.0,0.0,0.0,0.0,1.0
e7362379,0.0,1.0,0.0,1.0,0.0
e7634877,0.0,1.0,1.0,1.0,1.0
e7617873,1.0,1.0,1.0,1.0,1.0
e7634055,0.0,0.0,1.0,0.0,1.0
e6808293,0.0,0.0,0.0,1.0,0.0
e7600933,1.0,1.0,1.0,1.0,1.0
e6831029,0.0,0.0,0.0,1.0,1.0
e6677921,0.0,0.0,0.0,0.0,1.0
e7631343,1.0,1.0,1.0,0.0,0.0
e7168259,1.0,0.0,0.0,1.0,0.0
e77992,0.0,0.0,0.0,1.0,0.0
e7176755,1.0,0.0,0.0,0.0,0.0
e7602909,1.0,1.0,1.0,1.0,1.0
e7419993,0.0,1.0,1.0,1.0,1.0
e7097991,1.0,0.0,0.0,0.0,1.0
e7585417,0.0,1.0,0.0,1.0,0.0
e7531615,1.0,1.0,0.0,1.0,1.0
e7628397,1.0,1.0,1.0,0.0,1.0
e6651097,1.0,0.0,0.0,0.0,0.0
e7447633,0.0,1.0,0.0,0.0,1.0
e6755531,0.0,1.0,0.0,1.0,0.0
e7610691,0.0,0.0,0.0,1.0,0.0
e6716069,1.0,0.0,0.0,0.0,0.0
e6733083,0.0,1.0,0.0,0.0,0.0
e6787351,0.0,0.0,0.0,1.0,0.0
e6726225,0.0,1.0,0.0,0.0,0.0
e7595047,1.0,0.0,1.0,0.0,1.0
e7635509,1.0,1.0,1.0,1.0,1.0
e6094288,0.0,0.0,0.0,1.0,0.0
e7612565,0.0,0.0,0.0,1.0,0.0
e7593237,0.0,1.0,1.0,1.0,1.0
