,0,1,2,3,4
e7629200,1.0,1.0,1.0,1.0,1.0
e122118,0.0,0.0,0.0,1.0,1.0
e6632140,0.0,0.0,0.0,1.0,0.0
e7495848,0.0,0.0,0.0,0.0,1.0
e7271026,1.0,0.0,0.0,0.0,1.0
e7389976,0.0,1.0,0.0,1.0,0.0
e7629370,1.0,1.0,1.0,1.0,1.0
e7501008,0.0,0.0,1.0,0.0,0.0
e7514034,0.0,0.0,0.0,1.0,0.0
e6536430,0.0,0.0,1.0,1.0,0.0
e79666,1.0,0.0,0.0,0.0,1.0
e6841890,0.0,1.0,0.0,0.0,0.0
e6808394,1.0,0.0,0.0,0.0,0.0
e7441748,1.0,1.0,0.0,1.0,1.0
e6628250,0.0,1.0,1.0,1.0,0.0
e7612420,0.0,1.0,1.0,1.0,1.0
e7132650,1.0,0.0,1.0,1.0,0.0
e7003692,1.0,0.0,0.0,1.0,0.0
e7401300,0.0,1.0,0.0,0.0,1.0
e6842252,0.0,1.0,0.0,0.0,0.0
e7360554,1.0,0.0,0.0,1.0,0.0
e7516980,0.0,1.0,1.0,0.0,0.0
e7586750,1.0,0.0,0.0,0.0,1.0
e7267122,1.0,0.0,1.0,1.0,0.0
e7239260,1.0,0.0,0.0,0.0,0.0
e108216,0.0,0.0,0.0,1.0,0.0
e7440682,0.0,1.0,0.0,0.0,0.0
e7268584,1.0,0.0,0.0,0.0,1.0
e7614772,0.0,1.0,0.0,1.0,0.0
e7578066,1.0,0.0,0.0,1.0,1.0
e7508518,0.0,0.0,0.0,0.0,1.0
e7261108,1.0,0.0,0.0,0.0,1.0
e57168,1.0,0.0,0.0,0.0,0.0
e7553034,1.0,1.0,0.0,0.0,0.0
e7487032,1.0,0.0,0.0,0.0,1.0
e7596208,0.0,1.0,1.0,0.0,0.0
e7632402,1.0,1.0,0.0,1.0,1.0
e7517024,1.0,0.0,0.0,0.0,1.0
e6824214,0.0,0.0,0.0,0.0,1.0
e6860528,0.0,1.0,0.0,1.0,0.0
e7634660,1.0,1.0,0.0,1.0,1.0
e6679726,1.0,0.0,0.0,0.0,0.0
e7478132,0.0,1.0,0.0,1.0,1.0
e7616538,0.0,0.0,1.0,0.0,0.0
e6755042,1.0,1.0,0.0,0.0,0.0
e7483296,0.0,1.0,0.0,0.0,0.0
e7597196,0.0,0.0,1.0,1.0,1.0
e7484408,0.0,0.0,0.0,1.0,0.0
e7628838,1.0,1.0,1.0,0.0,1.0
e7559990,1.0,0.0,0.0,0.0,0.0
e7611776,1.0,1.0,1.0,1.0,1.0
e7455070,1.0,1.0,0.0,1.0,1.0
e6417226,0.0,0.0,1.0,0.0,0.0
e6747306,0.0,1.0,0.0,0.0,0.0
e7627308,0.0,1.0,1.0,1.0,1.0
