,0,1,2,3
e192211647,1.0,1.0,1.0,1.0
e180357197180357177180357185180357193192390419,1.0,1.0,1.0,1.0
e150888460,1.0,0.0,0.0,0.0
e35455498192342643,1.0,1.0,1.0,1.0
e151190321,1.0,0.0,0.0,0.0
e180369573,1.0,0.0,1.0,1.0
e180344567,1.0,0.0,1.0,0.0
e149224033,0.0,1.0,0.0,1.0
e192441914180294657151192321,1.0,1.0,1.0,1.0
e180346401151191501,0.0,1.0,1.0,1.0
e150543595,0.0,0.0,1.0,1.0
e150698144,0.0,0.0,1.0,0.0
e192280302,1.0,0.0,1.0,0.0
e192076539,1.0,0.0,1.0,0.0
e19242110115927126192414403150636185180272979,1.0,1.0,1.0,1.0
e180357653,0.0,1.0,1.0,1.0
e192399199192429892,1.0,1.0,1.0,1.0
e14673238215057108538019374,1.0,0.0,0.0,0.0
e180349485,1.0,1.0,1.0,1.0
e179637567192418819,1.0,1.0,1.0,1.0
e180207679,0.0,0.0,1.0,0.0
e14848848713958238527253118149754577146838364192443973180377065192099067,1.0,1.0,1.0,1.0
e149417456,1.0,0.0,0.0,0.0
e192394212,1.0,1.0,1.0,1.0
e192103663151192555,0.0,0.0,1.0,1.0
e149894222,1.0,1.0,1.0,1.0
e192409115,1.0,1.0,1.0,1.0
e192448413,0.0,1.0,0.0,0.0
e192219419,1.0,1.0,1.0,1.0
e180334771,0.0,1.0,1.0,1.0
e180369767,1.0,1.0,1.0,1.0
e192093281,1.0,0.0,1.0,1.0
e149951648,1.0,0.0,0.0,0.0
e149618376150539405,1.0,0.0,1.0,1.0
e192441424170799859,1.0,1.0,1.0,1.0
e149937086,1.0,0.0,0.0,0.0
e192281556,1.0,0.0,1.0,0.0
e192250942,1.0,0.0,1.0,1.0
e148952974,0.0,0.0,0.0,1.0
e24042238192391864,1.0,1.0,1.0,1.0
e192422005,1.0,0.0,1.0,1.0
e180361123148878008576444818038723719242801842408570192321946,1.0,1.0,1.0,1.0
e11773544149549888,0.0,0.0,1.0,0.0
e149846726,1.0,0.0,0.0,1.0
e192439896,1.0,0.0,1.0,0.0
e151195207,1.0,0.0,1.0,1.0
e148249125,0.0,1.0,0.0,0.0
e192312590,1.0,1.0,1.0,1.0
e192424412,1.0,1.0,1.0,0.0
e180623693,1.0,1.0,1.0,1.0
e192407340,1.0,1.0,1.0,1.0
e192072555,1.0,0.0,1.0,1.0
e192204353,1.0,1.0,1.0,1.0
e150864084,0.0,1.0,1.0,0.0
e151165429,1.0,1.0,0.0,1.0
e192349777,1.0,1.0,1.0,1.0
e192326319180353643,1.0,1.0,1.0,1.0
e148804466149127541,1.0,0.0,0.0,0.0
e192341141,1.0,1.0,1.0,1.0
e192425668,1.0,1.0,1.0,1.0
e149540046,1.0,1.0,0.0,0.0
e192425258,1.0,1.0,1.0,1.0
e180578095180356843,1.0,0.0,1.0,0.0
e180323547,0.0,0.0,0.0,1.0
e192443805,1.0,1.0,1.0,1.0
e149333403,0.0,0.0,1.0,1.0
e192444345,1.0,1.0,1.0,1.0
e192444385,1.0,0.0,1.0,1.0
e150819878,1.0,0.0,0.0,0.0
e192092013,1.0,1.0,1.0,1.0
e15040132741502260,1.0,0.0,0.0,0.0
e192445743192445745180447397155050073192261980151193581139814143,1.0,1.0,1.0,1.0
e192444351,1.0,1.0,1.0,1.0
e180658590,0.0,1.0,0.0,1.0
e192444479,1.0,1.0,1.0,1.0
e149905828,1.0,0.0,0.0,0.0
e180621321180650491,1.0,1.0,1.0,0.0
e192227935180373117180365211,1.0,0.0,0.0,1.0
e180694648,1.0,0.0,0.0,1.0
e192399513,1.0,0.0,1.0,1.0
e192444113,1.0,1.0,1.0,1.0
e180380281,0.0,1.0,1.0,1.0
e192334079,1.0,1.0,1.0,1.0
e192371038,1.0,0.0,0.0,0.0
e192084181,1.0,1.0,1.0,1.0
e192444397,1.0,1.0,1.0,1.0
e180368245,1.0,0.0,1.0,1.0
e192442832,1.0,1.0,1.0,1.0
e180579931,1.0,1.0,1.0,1.0
e192186209192421259192349913150788984,1.0,1.0,1.0,1.0
e192078605,1.0,1.0,1.0,1.0
e192209401,1.0,1.0,1.0,1.0
e180154189,1.0,0.0,1.0,0.0
e179766293,0.0,0.0,1.0,1.0
e192340939,1.0,1.0,1.0,1.0
e192422323,1.0,1.0,1.0,1.0
e17135422518023656718023656926706180180203625,0.0,1.0,0.0,1.0
e192391824,1.0,1.0,1.0,1.0
e192353649,1.0,1.0,1.0,1.0
e192442210149331191192443024,1.0,1.0,1.0,1.0
e180611961,1.0,0.0,1.0,0.0
e192194595,0.0,0.0,1.0,1.0
e149375586,1.0,0.0,0.0,1.0
e192398829,1.0,1.0,1.0,1.0
e149474942,0.0,0.0,0.0,1.0
e142440577150548373,1.0,0.0,0.0,0.0
e180564223,0.0,0.0,1.0,1.0
e192246148,1.0,1.0,1.0,1.0
e149755233,0.0,0.0,0.0,1.0
e192314622,1.0,0.0,1.0,1.0
e192429118,1.0,1.0,1.0,1.0
e192194697,0.0,0.0,1.0,1.0
e180680262,1.0,0.0,1.0,1.0
e180032919,1.0,1.0,1.0,0.0
e147737463139606597145594062,0.0,1.0,0.0,1.0
e180349407192065375,0.0,1.0,1.0,1.0
e180359401192442912,1.0,1.0,1.0,1.0
e192422826,1.0,1.0,1.0,1.0
e180363641,1.0,1.0,1.0,1.0
e192196407,1.0,0.0,0.0,1.0
e180297991147701007,1.0,0.0,0.0,0.0
e180371537,1.0,0.0,1.0,0.0
e14887824419209207522288026,0.0,0.0,0.0,1.0
e192441466,1.0,0.0,1.0,1.0
e149312341,1.0,0.0,0.0,0.0
e192325564146404676,1.0,0.0,1.0,1.0
e192206387,1.0,0.0,1.0,0.0
e192366233,1.0,1.0,1.0,1.0
e192443018,1.0,1.0,1.0,1.0
e180372361148257467150426453148278115142035656192220349,1.0,1.0,1.0,1.0
e180638605,1.0,1.0,0.0,0.0
e192416191,1.0,1.0,1.0,1.0
e150257464,0.0,0.0,1.0,1.0
e192189907180612905171510053151189751,1.0,0.0,1.0,1.0
e180346687,1.0,1.0,1.0,1.0
e192444119,1.0,0.0,1.0,1.0
e192441980,1.0,1.0,1.0,1.0
e192108843,1.0,0.0,1.0,1.0
e180277319,0.0,0.0,1.0,1.0
e192444925,1.0,1.0,1.0,1.0
e192416761,1.0,1.0,1.0,1.0
e180610595,1.0,1.0,1.0,0.0
e172391699149667314,1.0,1.0,0.0,0.0
e24723054149778801192072399,0.0,1.0,1.0,1.0
e7659146151077648138283614,1.0,0.0,0.0,0.0
e180713072148470915192093429,1.0,0.0,1.0,0.0
e180374469,1.0,1.0,1.0,1.0
e192407000,1.0,1.0,1.0,1.0
e180418521,0.0,1.0,0.0,1.0
e179653245192096385,0.0,1.0,1.0,0.0
e149834630,0.0,0.0,1.0,0.0
e192205221,1.0,0.0,1.0,0.0
e148473373149416072,0.0,1.0,0.0,1.0
e192361645,1.0,1.0,1.0,1.0
e151185523,0.0,0.0,0.0,1.0
e192444687,1.0,1.0,1.0,1.0
e192271976,1.0,0.0,1.0,1.0
e192337745,1.0,1.0,1.0,1.0
e179878409,0.0,0.0,1.0,1.0
e192425526,1.0,1.0,1.0,1.0
e192082233,1.0,0.0,1.0,0.0
e144886356,1.0,0.0,0.0,0.0
e180288007180347645,0.0,0.0,1.0,1.0
e180548973,1.0,0.0,1.0,1.0
e192278436,1.0,1.0,1.0,1.0
e192344361,1.0,1.0,1.0,1.0
e180309139180680264,1.0,0.0,0.0,0.0
e180457913148533361,0.0,0.0,1.0,0.0
e180262021,0.0,1.0,0.0,1.0
e189017099,0.0,0.0,1.0,1.0
e192105353,0.0,0.0,1.0,1.0
e148686010,0.0,1.0,1.0,0.0
e192309608,0.0,1.0,0.0,1.0
e180365557,0.0,1.0,1.0,1.0
e192405244,1.0,1.0,1.0,1.0
e192199713,1.0,0.0,1.0,0.0
e192198635,0.0,1.0,1.0,1.0
e180369941,1.0,1.0,1.0,1.0
e192375182,1.0,1.0,1.0,1.0
e180572873149669192180363269,1.0,0.0,0.0,0.0
e180645135,0.0,0.0,1.0,1.0
e192425050,1.0,1.0,1.0,1.0
e180366629,1.0,0.0,1.0,0.0
e180362485,1.0,1.0,1.0,1.0
e192300776,1.0,1.0,1.0,1.0
e192410713,1.0,1.0,1.0,1.0
e149369452180328993,0.0,0.0,0.0,1.0
e149569038,1.0,0.0,0.0,0.0
e192442248,1.0,1.0,1.0,1.0
e149148785,1.0,0.0,0.0,0.0
e149611492,0.0,0.0,1.0,0.0
e149298743,0.0,1.0,0.0,1.0
e192341651,1.0,1.0,1.0,1.0
e180681340192444437,1.0,1.0,1.0,1.0
